entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
35,2026-03-12 12:30:00+08:00,2.103009867236433,36,2026-03-12 12:45:00+08:00,open,15,0.986051622511301,short_tsm_long_qff,2224.4449919999997,2224.4449919999997,1890.0,1890.0,False,-424.8250702528499,500.0,5,5.291005291005291,1000000.0,945000.0,100.0,472.5,440.0,20,932.5,57,2026-03-12 21:40:00+08:00,-1.530776751472653,58,2026-03-12 21:55:00+08:00,open,-0.8878037304539995,2166.083152,2166.083152,1855.0,1855.0,24793.572778085407,-17500.0,7293.572778085407,460.1032136109573,440.0,20,920.1032136109573,932.6032136109573,880.0,40,1852.6032136109573,5440.96956447445,5440.96956447445,zscore_exit,550
88,2026-03-13 09:00:00+08:00,-2.6069747165094226,89,2026-03-13 09:15:00+08:00,open,15,-2.062668768847882,long_tsm_short_qff,2173.875116,2173.875116,1860.0,1860.0,False,427.8074638028103,-500.0,-5,5.376344086021505,1000000.0,930000.0,100.0,465.0,440.0,20,925.0,107,2026-03-13 17:25:00+08:00,0.7199552385190302,108,2026-03-13 17:40:00+08:00,open,-0.0061817434825479,2172.0211520000003,2172.0211520000003,1850.0,1850.0,-793.1396368216729,5000.0,4206.860363178327,464.60343018158915,440.0,20,924.6034301815891,929.6034301815891,880.0,40,1849.6034301815891,2357.256932996738,2357.256932996738,zscore_exit,505
154,2026-03-16 08:45:00+08:00,-2.6319627706196616,155,2026-03-16 09:00:00+08:00,open,15,1.909343921832937,long_tsm_short_qff,2190.08212,2190.08212,1880.0,1880.0,False,429.20764998528915,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,470.0,440.0,20,930.0,156,2026-03-16 09:15:00+08:00,2.765037635009129,157,2026-03-16 09:30:00+08:00,open,0.3431857494951871,2185.381808,2185.381808,1850.0,1850.0,-2017.4098677176287,15000.0,12982.590132282372,468.9912950661412,440.0,20,928.9912950661412,938.9912950661412,880.0,40,1858.9912950661412,11123.59883721623,11123.59883721623,zscore_exit,30
169,2026-03-16 12:30:00+08:00,2.35110351165254,170,2026-03-16 12:45:00+08:00,open,15,2.521393575682672,short_tsm_long_qff,2192.9675300000004,2192.9675300000004,1855.0,1855.0,False,-422.942878684574,500.0,5,5.390835579514825,1000000.0,927500.0,100.0,463.75,440.0,20,923.75,190,2026-03-16 21:25:00+08:00,-0.6819361210960587,191,2026-03-16 21:40:00+08:00,open,-0.9934977189355444,2198.868336,2198.868336,1865.0,1865.0,-2495.7038761990575,5000.0,2504.2961238009425,464.99785193809953,440.0,20,924.9978519380995,928.7478519380995,880.0,40,1848.7478519380995,655.548271862843,655.548271862843,zscore_exit,535
192,2026-03-16 21:55:00+08:00,-2.199934713876253,193,2026-03-16 22:10:00+08:00,open,15,-1.1882524384123418,long_tsm_short_qff,2193.48288,2193.48288,1875.0,1875.0,False,427.4024696285754,-500.0,-5,5.333333333333333,1000000.0,937500.0,100.0,468.75,440.0,20,928.75,221,2026-03-17 08:45:00+08:00,-1.4906771266428982,222,2026-03-17 09:00:00+08:00,open,0.4210744191630258,2181.56613,2181.56613,1870.0,1870.0,-5093.248379946268,2500.0,-2593.248379946268,466.20337581002696,440.0,20,926.203375810027,934.953375810027,880.0,40,1854.953375810027,-4448.201755756295,-4448.201755756295,time_stop,650
241,2026-03-17 17:25:00+08:00,-3.329774640579151,242,2026-03-17 17:40:00+08:00,open,15,-2.717072222145684,long_tsm_short_qff,2174.40758,2174.40758,1885.0,1885.0,False,433.45139552907557,-500.0,-5,5.305039787798409,1000000.0,942500.0,100.0,471.25,440.0,20,931.25,262,2026-03-17 22:40:00+08:00,0.6748590021329702,263,2026-03-17 22:55:00+08:00,open,0.1975882380477625,2207.620484,2207.620484,1895.0,1895.0,14396.179588373208,-5000.0,9396.179588373208,478.44808979418667,440.0,20,938.4480897941867,949.6980897941867,880.0,40,1869.6980897941867,7526.481498579022,7526.481498579022,zscore_exit,315
275,2026-03-18 01:55:00+08:00,2.0586744608164644,276,2026-03-18 02:10:00+08:00,open,15,1.8356030999862287,short_tsm_long_qff,2216.7986279999996,2216.7986279999996,1900.0,1900.0,False,-428.5459166208038,500.0,5,5.2631578947368425,1000000.0,950000.0,100.0,475.0,440.0,20,935.0,298,2026-03-18 11:15:00+08:00,-0.6155350951233939,299,2026-03-18 11:30:00+08:00,open,-0.7033004430755523,2229.27222,2229.27222,1915.0,1915.0,-5345.506917194045,7500.0,2154.493082805955,477.6727534585971,440.0,20,937.6727534585971,952.6727534585971,880.0,40,1872.672753458597,281.820329347358,281.820329347358,time_stop,560
322,2026-03-18 20:55:00+08:00,-2.333082219454927,323,2026-03-18 21:10:00+08:00,open,15,-1.1045715444580146,long_tsm_short_qff,2204.5931520000004,2204.5931520000004,1900.0,1900.0,False,430.91851171639667,-500.0,-5,5.2631578947368425,1000000.0,950000.0,100.0,475.0,440.0,20,935.0,324,2026-03-18 21:25:00+08:00,0.7862181245130118,325,2026-03-18 21:40:00+08:00,open,-0.687755470337477,2224.423232,2224.423232,1910.0,1910.0,8545.148560816964,-5000.0,3545.148560816964,479.2725742804085,440.0,20,939.2725742804084,954.2725742804084,880.0,40,1874.2725742804084,1670.8759865365557,1670.8759865365557,zscore_exit,30
327,2026-03-18 22:10:00+08:00,-2.3573889963659678,328,2026-03-18 22:25:00+08:00,open,15,-0.5583541764777569,long_tsm_short_qff,2206.1183599999995,2206.1183599999995,1900.0,1900.0,False,430.6205946266637,-500.0,-5,5.2631578947368425,1000000.0,950000.0,100.0,475.0,440.0,20,935.0,355,2026-03-19 08:45:00+08:00,-1.91974674787302,356,2026-03-19 09:00:00+08:00,open,-0.6576783850132426,2177.042298,2177.042298,1885.0,1885.0,-12520.751107841585,7500.0,-5020.751107841585,468.73962444607923,440.0,20,928.7396244460792,943.7396244460792,880.0,40,1863.7396244460792,-6884.490732287664,-6884.490732287664,time_stop,635
369,2026-03-19 12:15:00+08:00,2.2551879595833504,370,2026-03-19 12:30:00+08:00,open,15,1.2380227957414196,short_tsm_long_qff,2175.8101400000005,2175.8101400000005,1865.0,1865.0,False,-428.57599698473683,500.0,5,5.361930294906166,1000000.0,932500.0,100.0,466.25,440.0,20,926.25,391,2026-03-19 21:25:00+08:00,-0.5411435552169225,392,2026-03-19 21:40:00+08:00,open,-0.0778212284533048,2114.376,2114.376,1820.0,1820.0,26329.197799400026,-22500.0,3829.1977994000263,453.0854011003001,440.0,20,913.0854011003,919.3354011003,880.0,40,1839.3354011003,1989.8623982997262,1989.8623982997262,zscore_exit,550
